0,disease_name,description,treatments,causes,severity,specialist,frequency,contagiousness
260,Non-allergic rhinitis,Non-allergic rhinitis happens when the inside of your nose becomes irritated causing a blocked or runny nose. It can be treated with medicines from a pharmacist or GP.,"Non-allergic rhinitis often gets better on its own without any treatment.
If needed a GP may prescribe stronger medicine such as prescription nasal sprays.
They may also change any medicine you're taking if they think it may be causing your symptoms.
You may be referred to a specialist for further tests and treatment if it's not clear what's causing your symptoms or they're severe.
","Common causes of non-allergic rhinitis include:
having a cold
changes in the weather such as temperature or humidity
exercising
smoke perfume and paint fumes
alcohol and spicy food
hormone changes in pregnancy or puberty or from taking medicines such as hormone replacement therapy (HRT) and the contraceptive pill
conditions such as an underactive thyroid (hypothyroidism)
medicines such as ACE inhibitors beta blockers aspirin and anti-inflammatory painkillers like ibuprofen
using decongestant nasal sprays too often
Information:
Non-allergic rhinitis is different from allergic rhinitis which is caused by allergies such as hay fever.",Mild,Allergist or Otolaryngologist (ENT Specialist),Common,No
261,Oral thrush (mouth thrush),Oral thrush is usually harmless. It's common in babies and older people with dentures. It can be easily treated with medicines bought from a pharmacy.,"Oral thrush can be easily treated with a mouth gel bought from a pharmacy. The gel is suitable for adults children and babies over the age of 4 months.
Ask your pharmacist for advice. Always follow the instructions on the medicine packet.
If you leave oral thrush untreated the infection can spread to other parts of the body.
",,Mild,Dentist or General Practitioner,Common,No
262,Orf,Orf is a skin infection you can get from infected sheep or goats. It most often affects the fingers hands forearms or face. It usually clears up without treatment in about 6 weeks.,"There's no specific treatment for orf.
The blister on your skin should clear up in around 6 weeks. Cover it with a waterproof dressing to keep it clean and dry and stop it getting infected.
If it becomes infected you may need antibiotics.
Rarely minor surgery may be needed to remove the affected area of skin if it does not clear up by itself.
","Orf is a virus that mainly affects young lambs and goats.
You can get it if you have a sore cut or scratch that touches an infected animal. You're most at risk if you have regular contact with sheep or goats â€“ for example if you're a farmer or if you bottle feed a lamb.
Orf causes scabs around the animal's nose and mouth which may spread to their legs and teats. It's not usually serious but is passed easily between animals.
Sheep and goats can be vaccinated against the orf virus. But people can get infected if they come into contact with recently vaccinated or unvaccinated animals.
It's very rare for orf to be passed from one person to another.",Mild,General Practitioner or Dermatologist,Rare,No
263,Osteoarthritis,Osteoarthritis is a condition that causes joints to become painful and stiff. It's the most common type of arthritis in the UK.,"regular exercise
losing weight if you're overweight
wearing suitable footwear
using special devices to reduce the strain on your joints during your everyday activities
","As part of normal life your joints are exposed to a constant low level of damage. In most cases your body repairs the damage itself and you do not experience any symptoms.
But in osteoarthritis the protective cartilage on the ends of your bones breaks down causing pain swelling and problems moving the joint. Bony growths can develop and the area can become swollen and red. (Redness can be harder to see on brown and black skin.)
The exact cause is not known but several things are thought to increase your risk of developing osteoarthritis including:
joint injury â€“ overusing your joint when it has not had enough time to heal after an injury or operation
other conditions (secondary arthritis) â€“ osteoarthritis can happen in joints severely damaged by a previous or existing condition such as rheumatoid arthritis or gout
age â€“ your risk of developing the condition increases as you get older
family history â€“ osteoarthritis may run in families although studies have not identified a single gene responsible
obesity â€“ being obese puts excess strain on your joints particularly those that bear most of your weight such as your knees and hips
being a woman â€“ osteoarthritis is more common in women than men",Moderate,Rheumatologist or Orthopedic Specialist,Common,No
264,Osteophyte (bone spur),Osteophytes (bone spurs) are bony lumps that grow on the bones in the spine or around joints. They form when a joint or bone has been damaged by arthritis but do not always cause problems.,"painkillers such as paracetamol and ibuprofen
physiotherapy
losing weight if you're overweight
surgery such as a hip replacement or knee replacement
",,Mild,Orthopedic Specialist or General Practitioner,Common,No
265,Otosclerosis,Otosclerosis is a problem with the bones inside the ear which causes gradual hearing loss. Hearing aids or surgery will usually improve your hearing and total hearing loss is rare.,"The 2 main treatment options for otosclerosis are hearing aids or surgery.
Hearing aids work by making the sounds around you louder. They can help you hear easier but they will not stop your hearing from getting worse.
You may also be offered surgery to remove one of the small bones (the stapes) in your affected ear or ears. If your stapes is removed it will be replaced by a plastic or metal implant. Surgery is usually very successful at improving hearing.
You will usually be referred to an ear nose and throat specialist (ENT) who will help you decide which treatment may be best for you.
","Otosclerosis happens when a tiny bone inside your ear called the stapes joins (fuses) with other parts of the ear and stops you being able to hear properly.
It's not known why otosclerosis happens but it may be passed on in families. You are more likely to get otosclerosis if a close relative has it.",Mild,Otolaryngologist (ENT Specialist) or Audiologist,Common,No
266,Ovarian cyst,An ovarian cyst is a fluid-filled sac that develops on an ovary. They're very common and do not usually cause any symptoms.,"its size and appearance
whether you have any symptoms
whether you have been through the menopause
",,Mild,Gynecologist or General Practitioner,Common,No
267,Overactive thyroid (hyperthyroidism),An overactive thyroid also known as hyperthyroidism or thyrotoxicosis is where the thyroid gland produces too much of the thyroid hormones.,"medicine that stops your thyroid producing too much of the thyroid hormones
radioiodine treatment â€“ where a type of radiotherapy is used to destroy cells in the thyroid reducing its ability to produce thyroid hormones
surgery to remove some or all of your thyroid so that it no longer produces thyroid hormones
","There are several reasons why your thyroid can become overactive.
These include:
Graves' disease â€“ an autoimmune condition where the immune system produces antibodies that cause the thyroid to produce too much thyroid hormone (about 4 in every 5 people with an overactive thyroid have Graves' disease)
lumps (nodules) on the thyroid â€“ this extra thyroid tissue can produce thyroid hormones causing your levels to be too high
some medicines such as amiodarone which can be used to treat an irregular heartbeat (arrhythmia)
Find out more about the causes of an overactive thyroid",Moderate,Endocrinologist or General Practitioner,Common,No
268,Ovulation pain,It's common to have ovulation pain about 14 days before your period. It usually lasts a short time and is nothing to worry about.,"If ovulation is the only cause of your pain and it's not severe a warm bath or painkillers such as paracetamol or ibuprofen may be all you need.
A GP may advise contraception to stop you from ovulating such as the contraceptive pill or a contraceptive implant.
If a GP thinks something else is causing the pain they may refer you for tests or to see a specialist. Treatment will depend on what the cause is.
","Ovulation pain is caused by the ovary releasing the egg.
There are some conditions that may cause a similar pain.
These include:
conditions that affect the womb or ovaries such as endometriosis and ovarian cysts
some sexually transmitted infections (STIs) such as chlamydia
scar tissue (adhesions) from surgery you've had near the ovaries such as a caesarean section
an ectopic pregnancy",Mild,General Practitioner or Gynecologist,Common,No
269,Pagets disease of bone,Paget's disease of bone disrupts the normal cycle of bone renewal causing bones to become weakened and possibly deformed.,"bisphosphonate medication â€“ medicines that help control bone regeneration and are used to control pain
supportive therapies â€“ including physiotherapy occupational therapy and devices such as walking sticks or shoe inserts
surgery â€“ this may be needed if further problems develop such as fractures deformities or severe joint damage
","Bone cells regenerate in a similar way to skin â€“ old bone is removed and replaced by new bone. This is known as bone remodelling.
2 cells are responsible for this:
osteoclasts â€“ cells that absorb old bone
osteoblasts â€“ cells that make new bone
In Paget's disease of bone something goes wrong with the osteoclast cells and they start to absorb bone at a much faster rate than usual.
The osteoblasts then try to produce new bone more quickly but the new bone is larger and weaker than normal.
It's not clear what triggers this but you're at a higher risk if you have a family history of Paget's disease of bone. You may inherit a genetic fault that means you're much more likely to develop the condition.",Moderate,Rheumatologist or Endocrinologist,Rare,No
270,Panic disorder,Panic disorder is an anxiety disorder where you regularly have sudden attacks of panic or fear.,"Treatment aims to reduce the number of panic attacks you have and ease your symptoms.
Talking therapies and medicine are the main treatments for panic disorder. Your treatment will depend on your symptoms.
","As with many mental health conditions the exact cause of panic disorder is not fully understood.
But it's thought to be linked to a combination of things including:
a traumatic or very stressful life experience such as bereavement
having a close family member with panic disorder
an imbalance of neurotransmitters (chemical messengers) in the brain",Mild,Psychiatrist or Psychologist,Common,No
271,Paralysis,Paralysis is when you are not able to move some or all your body. It can be temporary or permanent depending on what causes it.,"physiotherapy to maintain strength and muscle mass
occupational therapy to adapt to everyday tasks like getting dressed
medicines to relieve problems such as pain stiffness and muscle spasms
","Paralysis can be a symptom of many different conditions that affect the muscles and nerves.
Common causes of paralysis include:
a transient ischaemic attack (TIA or ""mini-stroke"") or stroke (paralysis in 1 half of the face with arm weakness)
a head injury
a spinal cord (back) injury
Bell's palsy (paralysis in 1 half of the face)
multiple sclerosis
Sometimes paralysis can be temporary like having sleep paralysis or long-term like muscular dystrophy.
It can also be caused by a brain tumour or certain types of cancer like head or neck cancer.",Severe,Neurologist or Rehabilitation Specialist,Rare,No
272,Parkinsons disease,Parkinson's disease is a condition in which parts of the brain become progressively damaged over many years.,"supportive treatments such as physiotherapy and occupational therapy
medication
in some cases brain surgery
","Parkinson's disease is caused by a loss of nerve cells in part of the brain called the substantia nigra. This leads to a reduction in a chemical called dopamine in the brain.
Dopamine plays a vital role in regulating the movement of the body. A reduction in dopamine is responsible for many of the symptoms of Parkinson's disease.
Exactly what causes the loss of nerve cells is unclear. Most experts think that a combination of genetic and environmental factors is responsible.",Severe,Neurologist,Common,No
273,Pelvic inflammatory disease,Pelvic inflammatory disease (PID) is an infection of the female reproductive system which includes the womb fallopian tubes and ovaries.,"If diagnosed at an early stage PID can be treated with a course of antibiotics which usually lasts for 14 days.
You'll be given a mixture of antibiotics to cover the most likely infections and often an injection as well as tablets.
It's important to complete the whole course and avoid having sexual intercourse during this time to help ensure the infection clears.
Your recent sexual partners also need to be tested and treated to stop the infection coming back or being spread to others.
","Most cases of PID are caused by a bacterial infection that's spread from the vagina or the cervix to the reproductive organs higher up.
Many different types of bacteria can cause PID. In many cases it's caused by a sexually transmitted infection (STI) such as chlamydia or gonorrhoea.
Another type of STI called mycoplasma genitalium is thought to be increasingly responsible for cases of PID.
In many other cases it's caused by bacteria that normally live in the vagina.",Severe,Gynecologist or Infectious Disease Specialist,Common,Yes
274,Pelvic organ prolapse,Pelvic organ prolapse is when 1 or more of the organs in the pelvis slip down from their normal position and bulge into the vagina.,"losing weight if you're overweight
avoiding heavy lifting
preventing or treating constipation
pelvic floor exercises
hormone treatment
vaginal pessaries
surgery
","Pelvic organ prolapse happens when the group of muscles and tissues that normally support the pelvic organs called the pelvic floor becomes weakened and cannot hold the organs in place firmly.
A number of things can weaken your pelvic floor and increase your chance of developing pelvic organ prolapse.
These include:
pregnancy and childbirth â€“ especially if you had a long difficult birth or if you gave birth to a large baby or multiple babies
getting older and going through the menopause
being overweight
having long-term constipation or a long-term health condition that causes you to cough and strain
having a hysterectomy
a job that requires a lot of heavy lifting
Some health conditions can also make a prolapse more likely including:
joint hypermobility syndrome
Marfan syndrome
Ehlers-Danlos syndromes",Moderate,Gynecologist or Urogynecologist,Common,No
275,Pelvic pain,Pelvic pain is felt in the lower part of your tummy. The type of pain varies and it may be sudden and severe (acute pelvic pain) or last 6 months or longer (chronic pelvic pain).,"antibiotics
painkillers
physiotherapy such as exercises for the pelvic floor muscles
hormone treatments
","There are lots of causes of pelvic pain. It might be caused by an infection or a condition affecting one of the organs in the pelvic area such as the bowel or bladder.
Common causes include:
constipation or irritable bowel syndrome
urinary tract infections (UTIs)
sexually transmitted infections (STIs)
Most causes of pelvic pain are not serious. But there a few conditions that cause pelvic pain and need emergency treatment such as appendicitis and peritonitis.
But do not self-diagnose â€“ see a GP if you're worried.
Pelvic pain in women
Pelvic pain is more common in women and common causes include:
period pain
conditions affecting female reproductive organs such as an ovarian cyst or endometriosis
pelvic pain in pregnancy
Rarely it could be something more serious like an ectopic pregnancy womb cancer or ovarian cancer.
Pelvic pain in men
Pelvic pain can sometimes be caused by conditions affecting the prostate such as prostatitis.",Moderate,Gynecologist or Pelvic Pain Specialist,Common,No
276,Perforated eardrum,A perforated (burst) eardrum is a hole or tear in your eardrum. It usually gets better on its own within 2 months but you may need treatment such as antibiotics.,"A perforated eardrum usually gets better on its own within 2 months and your hearing returns to normal.
A GP may prescribe antibiotics if you have an ear infection or to stop you getting an ear infection while your eardrum heals.
Sometimes surgery to repair the eardrum (myringoplasty) may be needed if the eardrum is not healing by itself.
Go back to your GP if your symptoms have not started to improve after a few weeks.
",,Moderate,Otolaryngologist (ENT Specialist),Common,No
277,Pericarditis,Pericarditis is inflammation of the lining around your heart which causes chest pain. It's not usually serious but it can sometimes cause serious health problems. Get medical advice if you have chest pain.,"colchicine â€“ if anti-inflammatory painkillers do not work or pericarditis keeps coming back
steroids â€“ if colchicine does not work
antibiotics â€“ if pericarditis is caused by a bacterial infection
","Your heart has a protective fluid-filled sac around it called the pericardium.
In pericarditis the pericardium gets inflamed and blood or fluid can leak into it.
It's difficult to confirm the exact cause of pericarditis but it's usually a viral infection such as a cold or flu.",Severe,Cardiologist or Rheumatologist,Rare,No
278,Peripheral arterial disease (PAD),Peripheral arterial disease (PAD) is a common condition where a build-up of fatty deposits in the arteries restricts blood supply to leg muscles. It's also known as peripheral vascular disease (PVD).,"eat a healthy diet
lose weight if you're overweight or obese
moderate your consumption of alcohol
","PAD is a form of cardiovascular disease (CVD) because it affects the blood vessels.
It's usually caused by a build-up of fatty deposits in the walls of the leg arteries. The fatty deposits (atheroma) are made up of cholesterol and other waste substances.
The build-up of fatty deposits on the walls of the arteries makes the arteries narrower and restricts blood flow to the legs. This process is called atherosclerosis.
There are certain things that can increase your chances of developing PAD and other forms of CVD including:
smoking â€“ the most significant risk factor
type 1 diabetes and type 2 diabetes
high blood pressure (hypertension)
high cholesterol
growing older",Severe,Vascular Surgeon or Cardiologist,Common,No
279,Peripheral neuropathy,Peripheral neuropathy develops when nerves in the body's extremities such as the hands feet and arms are damaged. The symptoms depend on which nerves are affected.,"Treatment for peripheral neuropathy depends on the symptoms and underlying cause.
Not all of the underlying causes of neuropathy can be treated.
For example if you have diabetes it may help to gain better control of your blood sugar level stop smoking and cut down on alcohol.
Nerve pain may be treated with prescribed medicines called neuropathic pain agents as standard painkillers often do not work.
If you have other symptoms associated with peripheral neuropathy these may need to be treated individually.
For example treatment for muscle weakness may involve physiotherapy and walking aids.
","In the UK diabetes (both type 1 and type 2) is the most common cause of peripheral neuropathy.
Over time the high blood sugar levels associated with diabetes can damage the nerves.
This type of nerve damage is known as diabetic polyneuropathy.
Peripheral neuropathy can also have a wide range of other causes.
For example it can be caused by:
physical injury to the nerves
a viral infection such as shingles
a side effect of certain medicines or drinking too much alcohol
People who are known to be at an increased risk of peripheral neuropathy may have regular check-ups so their nerve function can be assessed.",Severe,Neurologist,Common,No
280,Peritonitis,Peritonitis is an infection of the inner lining of your tummy. Left untreated it can become life threatening.,"If you're diagnosed with peritonitis you'll need treatment in hospital to get rid of the infection.
Treatment usually involves being given antibiotics into a vein (intravenously).
If you have regular kidney dialysis your doctor might discuss a different way of doing it until the peritonitis has been treated.
It can be difficult to digest food if you have peritonitis.
A feeding tube might be passed into your stomach through your nose or placed inside your stomach using keyhole surgery.
If a feeding tube cannot be used liquid nutrients can be given directly into one of your veins.
If part of your stomach lining has been seriously damaged by infection you may need surgery to remove it.
Sometimes pus-filled swellings (abscesses) develop in the lining and need to be drained with a needle under local anaesthetic.
You might also need an operation to deal with the cause of the peritonitis. For example a burst appendix will need to be removed.
","The lining of the tummy (peritoneum) covers internal organs like the kidneys liver and bowel.
If the lining becomes infected and you get peritonitis the internal organs it covers can also be damaged.
This most often happens because of things like:
a burst stomach ulcer
a burst appendix
digestive problems such as Crohn's disease or diverticulitis
pancreatitis
surgery
injury to the stomach
pelvic inflammatory disease
cirrhosis
Rarely if bacteria gets into peritoneal dialysis equipment used to treat people with kidney failure this can cause infection.",Severe,Gastroenterologist or General Surgeon,Rare,No
281,Phaeochromocytoma,A phaeochromocytoma is a rare tumour of the adrenal glands which sit above the kidneys.,"""keyhole"" (laparoscopic) surgery â€“ a number of small cuts (incisions) are made and fine instruments are passed through these to remove the tumour; this is the most common type of surgery for phaeochromocytomas
open surgery â€“ a single larger incision is made in the skin to access and remove the tumour
","Many phaeochromocytomas occur for no obvious reason and do not run in the family.
However up to 1 in every 3 occurs as part of an inherited genetic disorder such as:
von Hippel-Lindau (VHL) syndrome
neurofibromatosis type 1 (NF1)
These genetic disorders cause different tumours or growths to develop around the body.
If you're diagnosed with a phaeochromocytoma your doctor may recommend having genetic testing to see if you have any of these disorders.",Severe,Endocrinologist or Oncologist,Rare,No
282,Phlebitis (superficial thrombophlebitis),Phlebitis is inflammation of a vein near the surface of the skin. Itâ€™s not usually serious and often gets better on its own after 1 or 2 weeks.,"anti-inflammatory medicines â€“ cream or gel can be used if the affected area is small
compression stockings â€“ these increase blood flow to the legs but are only suitable for some people with phlebitis
blood-thinning medicine to reduce the risk of blood clots and help stop phlebitis coming back
","It's not always clear what causes phlebitis.
Often the inflammation is linked to:
varicose veins (swollen and enlarged veins usually in the legs)
conditions that cause the blood to clot more easily like thrombophilia
autoimmune conditions like BehÃ§et's disease (a rare condition that causes inflammation of the blood vessels)
having injections or a small plastic tube (cannula) inserted into a vein
Other things that can increase your chances of getting phlebitis include:
getting older
being obese
being pregnant
having cancer
having phlebitis in the past",Mild,Vascular Surgeon or General Practitioner,Common,No
283,Piles (haemorrhoids),Piles (haemorrhoids) are lumps inside and around your bottom (anus). They often get better on their own after a few days. There are things you can do to treat and prevent piles.,"rubber band ligation: a band is placed around your piles to make them drop off
sclerotherapy: a liquid is injected into your piles to make them shrink
electrotherapy: a gentle electric current is applied to your piles to make them shrink
infrared coagulation: an infrared light is used to cut the blood supply to your piles to make them shrink
haemorrhoidectomy: your piles are cut out
stapled haemorrhoidopexy: your piles are stapled back inside your anus
haemorrhoidal artery ligation: stitches are used to cut the blood supply to your piles to make them shrink
","Piles are swollen blood vessels. It's not clear what causes them.
Things that make piles more likely:
constipation
pushing too hard when pooing
heavy lifting
pregnancy",Mild,Gastroenterologist or General Practitioner,Common,No
284,Pins and needles,Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time.,,"There are some possible medical causes of pins and needles. If you have other symptoms this might help to find the cause.
But do not self-diagnose â€“ see a GP if you're worried.
Possible causes of symptoms
Symptoms Possible condition
Pins and needles pain or numbness in hands and feet Diabetes
Pins and needles in fingers or toes that change colour Raynaud's
Breathing too quickly trembling hands pins and needles Hyperventilation
Pain and pins and needles that travels from your back down your leg to your foot Sciatica
Pins and needles in different parts of your body Multiple sclerosis
Long-lasting pins and needles may also be caused by:
treatments â€“ such as chemotherapy
some medicines â€“ such as HIV medicine medicine to prevent seizures or some antibiotics
toxic substances â€“ such as lead or radiation
poor diet
a trapped nerve in your back or neck
nerve damage â€“ after an injury or illness
drinking too much alcohol",Mild,Neurologist or General Practitioner,Common,No
285,Plantar fasciitis,Plantar fasciitis is pain on the bottom of your foot around your heel and arch. You can usually ease the pain yourself but see a GP if it does not improve within 2 weeks.,"ask the reception staff at your GP surgery
check your GP surgery's website
contact your integrated care board (ICB) â€“ find your local ICB
search online for NHS treatment for plantar fasciitis near you
","Plantar fasciitis is caused by straining the part of your foot that connects your heel bone to your toes (plantar fascia).
It's not always clear why this happens.
You may be more likely to get plantar fasciitis if you:
are 40 to 60 years of age
recently started exercising on hard surfaces
exercise with a tight calf or heel
overstretch the sole of your foot during exercise
recently started doing a lot more walking running or standing up
wear shoes with poor cushioning or support
are very overweight",Mild,Orthopedic Specialist or Podiatrist,Common,No
286,PMS (premenstrual syndrome),PMS (premenstrual syndrome) is the name for the symptoms women can experience in the weeks before their period. Most women have PMS at some point. You can get help if it affects your daily life.,"hormonal medicine â€“ such as the combined contraceptive pill
cognitive behavioural therapy â€“ a talking therapy
antidepressants
dietary supplements
acupuncture
reflexology
supplements such as vitamin B6 calcium and vitamin D and magnesium (check with a GP or pharmacist if you are also taking medicines before starting to take regular supplements)
","It's not fully understood why women get PMS.
But it may be because of changes in their hormone levels during the menstrual cycle.
Some women may be more affected by these changes than others.",Mild,Gynecologist or General Practitioner,Common,No
287,Pneumonia,Pneumonia is inflammation of the lungs usually caused by an infection. Most people get better in 2 to 4 weeks but babies older people and people with heart or lung conditions are at risk of getting seriously ill and may need treatment in hospital.,"you're over 65
you have cardiovascular disease or a long-term lung condition
your baby or young child has pneumonia
you're very unwell
","Pneumonia is usually caused by a bacterial or viral infection.
You can catch it from someone who has it or you can sometimes get it if you have another infection such as flu or coronavirus (COVID-19).
It can be caused by a fungal infection but this is rare in healthy people in the UK.
It may also be caused by something getting into your lungs such as water or food (aspiration pneumonia).",Severe,Pulmonologist or Infectious Disease Specialist,Common,Yes
288,Poisoning,Poisoning is when a person is exposed to a substance that can damage their health or endanger their life.,,,Severe,Emergency Medicine Specialist or Toxicologist,Common,No
289,Polio,Polio is a serious infection that's now very rare because of the vaccination programme. It's only found in a few countries and the chance of getting it in the UK is extremely low.,"bed rest in hospital
painkillers
help with breathing
regular stretches and exercises to prevent problems with your muscles and joints
","Polio is caused by a virus that spreads easily from person to person.
It usually spreads through contact with the poo of an infected person. For example from not washing your hands properly and putting them in your mouth or from contaminated food or water.
It can also spread through coughs or sneezes but this is less common.
Your chance of getting polio in the UK is extremely low. This is because most people are fully vaccinated. Polio was eradicated in Europe in 2003.
There's still an extremely small risk of catching it when travelling in a country where polio is still found such as Afghanistan and Pakistan.
If you're not vaccinated there is also a very small risk of getting it through contact with a person bringing the polio virus from these countries when they return to the UK.",Severe,Infectious Disease Specialist or Neurologist,Rare,Yes
290,Polycystic ovary syndrome,Polycystic ovary syndrome (PCOS) is a common condition that affects how a woman's ovaries work.,"There's no cure for PCOS but the symptoms can be treated. Speak to a GP if you think you may have the condition.
If you have PCOS and you're overweight losing weight and eating a healthy balanced diet can make some symptoms better.
Medicines are also available to treat symptoms such as excessive hair growth irregular periods and fertility problems.
If fertility medicines are not effective a simple surgical procedure called laparoscopic ovarian drilling (LOD) may be recommended.
This involves using heat or a laser to destroy the tissue in the ovaries that's producing androgens such as testosterone.
With treatment most women with PCOS are able to get pregnant.
","The exact cause of PCOS is unknown but it often runs in families.
It's related to abnormal hormone levels in the body including high levels of insulin.
Insulin is a hormone that controls sugar levels in the body.
Many women with PCOS are resistant to the action of insulin in their body and produce higher levels of insulin to overcome this.
This contributes to the increased production and activity of hormones like testosterone.
Being overweight or obese also increases the amount of insulin your body produces.",Moderate,Gynecologist or Endocrinologist,Common,No
291,Polyhydramnios (too much amniotic fluid),Polyhydramnios is where there is too much amniotic fluid around the baby during pregnancy. Amniotic fluid is the fluid that surrounds your baby in the womb.,"extra antenatal appointments and ultrasound scans to check for any health conditions that might affect you or your baby
tests to look for causes of polyhydramnios such as a blood test for diabetes in pregnancy or amniocentesis (where some amniotic fluid is removed and tested)
treatment for the underlying cause if it's found for example changes to your diet or possibly medicine if you have diabetes
","It's often unclear why too much fluid sometimes builds up during pregnancy but it can be caused by:
a twin or multiple pregnancy
diabetes in the mother â€“ including diabetes caused by pregnancy (gestational diabetes)
a blockage in the baby's gut (gut atresia)
an infection during pregnancy
the baby's blood cells being attacked by the mother's blood cells (rhesus disease)
your baby having a genetic condition
Most babies whose mothers have polyhydramnios will be healthy. Speak to your doctor or midwife if you're concerned or have any questions.",Moderate,Obstetrician or Maternal-Fetal Medicine Specialist,Rare,No
292,Polymorphic light eruption,Polymorphic light eruption is a fairly common skin rash triggered by exposure to sunlight or artificial ultraviolet (UV) light.,"There's no cure for polymorphic light eruption but using sunscreens and careful avoidance of the sun will help you manage the rash.
Avoid the sun particularly between 11am and 3pm when the sun's rays are at their strongest and wear protective clothing when outdoors (unless your doctor has advised you to try hardening your skin).
Introduce your skin to sunlight gradually in the spring.
You may be prescribed sunscreens to help prevent the rash developing.
Use a sunscreen that is SPF 50 or above with a UVA rating of 4 or 5 stars. Apply sunscreen thickly and evenly around 15 to 30 minutes before going out into the sun
Reapply every 2 hours and straight after you've dried yourself off after swimming.
A GP can prescribe corticosteroid (steroid) cream or ointment that's only applied when the rash appears.
You should apply it sparingly as often as the GP advises. Do not apply it when there's no rash.
It's sometimes possible to increase the resistance of your skin to the sun.
This involves visiting a hospital dermatology department 3 times a week for 4 to 6 weeks in the spring.
Your skin is gradually exposed to a little more UV light every visit to try to build up your skin's resistance.
The effects of desensitisation are lost in the winter so you'll have to build up your resistance again in the spring.
A GP or dermatologist may advise you to try increasing the resistance of your skin at home.
This is known as ""hardening"" and involves going outside for short periods in the spring to build up your resistance.
You might find the time is as short as a few minutes at first but you may be able to gradually build up to longer times.
You'll have to be careful not to overdo it but as you begin to understand more about how much light triggers your rash you'll be able to judge how long to stay out.
Like desensitisation the effects of hardening are lost in the winter so you'll have to build up your resistance again in the spring.
People with polymorphic light eruption are at greater risk of vitamin D deficiency as a certain amount of sun exposure is needed to make your own vitamin D.
A GP can advise whether you need treatment with vitamin D supplements.
","Polymorphic light eruption is thought to be caused by UV light altering a substance in the skin which the immune system reacts to resulting in the skin becoming inflamed.
It's not passed down through families but about 1 in 5 people with the condition have an affected relative as it's a fairly common condition.
It's not infectious so there's no risk of catching polymorphic light eruption from another person.",Mild,Dermatologist or Allergist,Common,No
293,Polymyalgia rheumatica,Polymyalgia rheumatica (PMR) is a condition that causes pain stiffness and inflammation in the muscles around the shoulders neck and hips.,"A steroid medicine called prednisolone is the main treatment for polymyalgia rheumatica. It's used to help relieve the symptoms.
To start with you may be prescribed a moderate dose of prednisolone which will be gradually reduced over time.
Most people with polymyalgia rheumatica will need a course of steroid treatment that lasts for 12 months to 2 years to prevent their symptoms returning.
","The cause of polymyalgia rheumatica is unknown but a combination of genetic and environmental factors is thought to be responsible.
Polymyalgia rheumatica is an age-related condition. Most people diagnosed with it are over 65 and it's very rare in people younger than 50. It's also more common in women than men.",Moderate,Rheumatologist,Common,No
294,Post-herpetic neuralgia,Post-herpetic neuralgia is a lasting pain in the areas of your skin where you had shingles.,"Medicines can ease the symptoms of post-herpetic neuralgia although they may not relieve the pain completely.
Widely available painkillers such as paracetamol and ibuprofen do not usually help so your doctor may prescribe a different type of painkiller.
Some medicines used to treat depression also work for nerve pain and are sometimes used for post-herpetic neuralgia.

Read more about treatments for post-herpetic neuralgia
","The varicella zoster virus causes both chickenpox and shingles.
In post-herpetic neuralgia the virus causes inflammation of the nerves under the skin of the affected area. Neuralgia is a medical term for pain resulting from nerve inflammation or damage.
It's not clear why some people with shingles develop post-herpetic neuralgia but increasing age pain during the early stage of shingles and severe pain throughout an episode of shingles are all associated with an increased risk of the condition.",Moderate,Neurologist or Pain Management Specialist,Common,No
295,Post-polio syndrome,Post-polio syndrome (PPS) is a poorly understood condition that can affect people who have had polio in the past.,"rest and exercise â€“ such as learning to stop activities before becoming exhausted
mobility aids â€“ such as walking sticks or scooters
weight control and healthy eating â€“ to avoid putting unnecessary strain on muscles and joints
painkilling medication â€“ to help relieve muscle or joint pain
psychological support â€“ such as discussions with a GP on an online forum or in a local support group
","The exact cause of post-polio syndrome is unclear. It's not known whether anything can be done to prevent it.
The leading theory is that it's the result of the gradual deterioration of nerve cells in the spinal cord (motor neurones) that were damaged by the polio virus. This would explain why the condition can take years to appear.
Post-polio syndrome isn't contagious. The theory that the polio virus may lie dormant in your body causing post-polio syndrome when it becomes reactivated at a later stage has not been proven.
It's not clear why only some people who have had polio develop post-polio syndrome. However those who had severe polio when they were younger may be more likely to develop the condition.",Severe,Neurologist or Rehabilitation Specialist,Rare,No
296,Postpartum psychosis,Postpartum psychosis is a serious mental health illness that can affect someone soon after having a baby. It affects around 1 in 1000 mothers after giving birth.,"antipsychotics â€“ to help with manic and psychotic symptoms such as delusions or hallucinations
mood stabilisers (for example lithium) â€“ to stabilise your mood and prevent symptoms recurring
antidepressants â€“ to help ease symptoms if you have significant symptoms of depression and may be used alongside a mood stabiliser
","It's not clear what causes postpartum psychosis but you're more at risk if you:
already have a diagnosis of bipolar disorder or schizophrenia
have a family history of mental illness particularly postpartum psychosis (even if you have no history of mental illness)
developed postpartum psychosis after a previous pregnancy",Severe,Psychiatrist or Psychologist,Rare,No
